,sentences,labels
792,Add name Me & the Rhythm to my chill out music,add_to_playlist
793,Add this artist to Metal Party,add_to_playlist
794,Add The Rebirth of Kirk Franklin to the Fiesta playlist.,add_to_playlist
795,add Jovanotti to punk español,add_to_playlist
796,add this tune by harry connick jr to my jazz brasileiro playlist,add_to_playlist
797,add Diarios de Bicicleta to my la la playlist,add_to_playlist
798,Can you add psycho to Canciones que lo van a petar?,add_to_playlist
799,add Love Story wa Totsuzen ni to the martin garrix show playlist,add_to_playlist
800,Add this piece to my spotify orchestra cello playlist: colors of the wind,add_to_playlist
801,Add a randy travis song to Deep Dark Indie Folk,add_to_playlist
802,add this track to my playlist it's ok to like jazz,add_to_playlist
803,Add this lbc crew tune to my Rock Argentino Vol I playlist,add_to_playlist
804,add sheila e to my i love my neo soul playlist,add_to_playlist
805,put artist paulinho da costa on my Very Nearly Nashville playlist,add_to_playlist
806,add stephanie mcintosh to I Love My 90s Hip Hop my playlist,add_to_playlist
807,Add Shelby Lynne to my playlist This Is Luis Fonsi,add_to_playlist
808,Add 12 Odd Future Songs to the Club Hits playlist. ,add_to_playlist
809,add lunacy to my chill out playlist,add_to_playlist
810,Please add a track from jeff mills to my hiphop hot 50 playlist,add_to_playlist
811,Add this song onto my playlist entitled chill out.,add_to_playlist
812,Add Falcon to the Top Tracks in Metal playlist. ,add_to_playlist
813,Add the pop tarts to my this is astor piazzolla playlist,add_to_playlist
814,add this track to morning classical,add_to_playlist
815,Add Tony Kakko music to Street Dance playlist,add_to_playlist
816,Add this tune to my Rockabilly Mania,add_to_playlist
817,Add Manuelita la tortuga to my Nuestros 80 playlist,add_to_playlist
818,add this album to rock en español,add_to_playlist
819,I'd like to add this whole album to the selektor ,add_to_playlist
820,Add Beverley Knight to my mellow beats playlist,add_to_playlist
821,Add an espen lind song to my list lo que suena new york,add_to_playlist
822,Add album to my French N' Heavy list,add_to_playlist
823,Add Sveta ljubav to my Metal Party playlist,add_to_playlist
824,add this song to the Pre-Party playlist,add_to_playlist
825,add this track to Alternative Route,add_to_playlist
826,Add a track by BT to my independent music monday playlist.,add_to_playlist
827,Add the tune from Leena Peisa to my amor amor playlist.,add_to_playlist
828,Add this tune to Morning Commute,add_to_playlist
829,add song to my Wild Country playlist,add_to_playlist
830,I want some fusil contra fusil added to my dance hits playlist. ,add_to_playlist
831,I want to add this tune by wheesung to my queen list,add_to_playlist
832,Can you add a tune to my Jazzy Romance playlist,add_to_playlist
833,add j r rotem to Classic Jazz Singers playlist,add_to_playlist
834,Add chen jiafeng to Ultimate 00s,add_to_playlist
835,Put an album by max richter into my this is Rosana playlist. ,add_to_playlist
836,I need to have pat alger's album placed onto the spotlight spain 2016 playlist.,add_to_playlist
837,Add no prejudice to 90s Indie,add_to_playlist
838,Add an artist to the décadas playlist.,add_to_playlist
839,put dj green lantern on my Targeted playlist,add_to_playlist
840,I want Tanya Stephens in my 35 Soul Classics 1970 to 1975 playlist. ,add_to_playlist
841,Add this track to my Dance Workout playlist,add_to_playlist
842,add Butterfly House to nu metal,add_to_playlist
843,Add My Belgian Rose to my evening list,add_to_playlist
844,Add album to virales de siempre,add_to_playlist
845,Add this album to my pop playlist,add_to_playlist
846,Add thomas a dorsey to my Big Band,add_to_playlist
847,add Teddy Boy to my Irish Folk – Jigs & Reels playlist,add_to_playlist
848,add this track to my party playlist,add_to_playlist
849,Add a guy is a guy to the infinite indie folk playlist.,add_to_playlist
850,Add Nightmares That Surface from Shallow Sleep to michael's Rock Solid playlist,add_to_playlist
851,I want another song in my rock español playlist. ,add_to_playlist
852,I want to add a song by jazz brasileiro,add_to_playlist
853,Add Ronski Speed to sweet soul chillout,add_to_playlist
854,Put another song in the Cloud Rap playlist. ,add_to_playlist
855,Put robbie robertson into my chill out playlist. ,add_to_playlist
856,I want this artist on the Cena Elegante playlist,add_to_playlist
857,Add Jon McLaughlin to my forever country playlist. ,add_to_playlist
858,I want to put sons of the sea on the pulse of americana playlist,add_to_playlist
859,Play Disco Tango to Power Walk,add_to_playlist
860,For my playlist chill add the name Cater Fe She,add_to_playlist
861,add track to This Is Zezé Di Camargo & Luciano playlist,add_to_playlist
862,add Put Your Hand Inside the Puppet Head to the playlist named Lazy Chill Afternoon,add_to_playlist
863,add The Little House We Built onto mucho rap,add_to_playlist
864,add track to rapcaviar,add_to_playlist
865,"add artist Fabri Fibra to This Is Earth, Wind & Fire",add_to_playlist
866,add this song to the Top 100 Indie Tracks on Spotify playlist,add_to_playlist
867,Put this album in shuffle syndrome,add_to_playlist
868,Add a song to my playlist Black History Salute,add_to_playlist
869,put Before the Eulogy onto Acoustic Blues,add_to_playlist
870,"I want to send music to ann's lists from SIR John Winston Ono Lennon, put it on her Infinite Indie Folk list",add_to_playlist
871,want to add this Nick Mason tune to the Sylvia Plath playlist,add_to_playlist
872,add saxophone supremacy to ofelia's calm before the storm playlist,add_to_playlist
873,Add there is nothing like a dame to my playlist Guest List TaKe,add_to_playlist
874,Add big bill broonzy to my Impulso Creativo,add_to_playlist
875,add album to my piano ballads,add_to_playlist
876,put glenn stetson to my your daily routine playlis,add_to_playlist
877,add tune to Electro Workout,add_to_playlist
878,Add bright and breezy to my This Is Gucci Mane playlist,add_to_playlist
879,I would like this song added to my princesas indie playlist.,add_to_playlist
880,Add the artist Michael Schenker to ina's this is jennifer lopez playlist,add_to_playlist
881,add the artist joseph meyer to my mad cool festival 2017 playlist,add_to_playlist
882,Put transatlantic lullaby on sharlene's napoleon xiv playlist,add_to_playlist
883,add Rakim y Ken Y to my Gold Edition playlist,add_to_playlist
884,add this artist to my Pop Punk's Not Dead,add_to_playlist
885,add this artist to primavera sound 2016 barcelona,add_to_playlist
886,Add the entire album into indie español,add_to_playlist
887,add track to my Gold Edition playlist,add_to_playlist
888,Add the artist Borys Ljatoschynskyj to my under the surface playlist,add_to_playlist
889,Add John Tesh to my salsa classics playlist,add_to_playlist
890,Add another song to my 88 keys playlist. ,add_to_playlist
891,Add the artist jill vidal to my Sinfonía Hipster playlist,add_to_playlist
892,I want to add Mark Boston to my Power Walk list,add_to_playlist
893,Put sita on bettie's global funk playlist,add_to_playlist
894,Add lari white song to my Soulful Disco playlist,add_to_playlist
895,Add gregory douglass to my WHM list,add_to_playlist
896,add go to The MetalSucks Playlist,add_to_playlist
897,Add track to novedades viernes sudamérica,add_to_playlist
898,Add javine hylton to my evening playlist,add_to_playlist
899,Add this tune to the Heavy Gamer playlist.,add_to_playlist
900,For my playlist jazzy dinner add the name Kick Over the Traces,add_to_playlist
901,Add tune to Genuine R&B,add_to_playlist
902,Add mike mantler to playlist girls' night,add_to_playlist
903,Put this tune on my get your mind right playlist,add_to_playlist
904,Please include Emily Remler in Indie Bluegrass,add_to_playlist
905,I want to put roberto valverde into my Ultra Metal list,add_to_playlist
906,add john brown to my Dinnertime Acoustics,add_to_playlist
907,add track to All Out 70s,add_to_playlist
908,add to laundry playlist with this song,add_to_playlist
909,add Troy Andrews to my pop punk powerhouses,add_to_playlist
910,put this frederick knight track on my the midnight hour playlist,add_to_playlist
911,add Marching Band to miami 2017 guest list,add_to_playlist
912,add this album to my forever country playlist,add_to_playlist
913,add Bedroom Jams to album,add_to_playlist
914,Add I Almost Lost My Mind to my bossa nova dinner playlist. ,add_to_playlist
915,For the playlist running power add the name The Best Is Yet to Come,add_to_playlist
916,add the essential jacksons to my Perfect Concentration,add_to_playlist
917,Add an abrar ul haq track to my playlist Soul Lounge,add_to_playlist
918,put this album on my conexiones list ,add_to_playlist
919,put Kids of the Black Hole onto my 90s por siempre playlist,add_to_playlist
920,Add judge jules to instrumental study,add_to_playlist
921,Add to ila's playlist A Mi Manera Recopilatorio the name my heart stood still,add_to_playlist
922,Add a tune to my this is marc anthony playlist,add_to_playlist
923,Add histoires sans paroles to my Women of K-Pop list,add_to_playlist
924,"I want to add george formby, jr to the family favorites playlist",add_to_playlist
925,add adele onto funtime activity playlist,add_to_playlist
926,Add another tune to my Trance Life playlist. ,add_to_playlist
927,Please add Iris DeMent to my playlist this is selena,add_to_playlist
928,Add another tune to my Pumping Iron playlist. ,add_to_playlist
929,Add this album to sheri's playlist journey,add_to_playlist
930,add this artist to disco fever playlist,add_to_playlist
931,Add the artist tom cochrane to new york groove,add_to_playlist
932,Add Sabrina Salerno to the Grime Instrumentals playlist,add_to_playlist
933,Add to playlist Confidence Boost Here Comes Santa Claus,add_to_playlist
934,add Deus Deceptor to Dance Workout,add_to_playlist
935,Add a Tom Thacker tune to my rock classics,add_to_playlist
936,Place Raise Your Fist onto year in metal 2016.,add_to_playlist
937,add this artist to spring music,add_to_playlist
938,Add Kloden drejer to my listas de éxitos playlist,add_to_playlist
939,Add Marianne Faithfull to june's Hillary Clinton's Women's History Month Playlist.,add_to_playlist
940,Add another track to my Catch 'Em All playlist. ,add_to_playlist
941,Add Omoide wa Okkusenman to an instrumental sunday,add_to_playlist
942,Add a track to my classical feast playlist.,add_to_playlist
943,Add Sam Moore to lo mejor de los 00's,add_to_playlist
944,add tune to my this is john williams playlist,add_to_playlist
945,Please put an album by Joseph Meyer on my POP GOES THE 80s playlist,add_to_playlist
946,add ojuelegba to trabajo ritmos dance,add_to_playlist
947,Include Kunnon syy in my Trap Land playlist. ,add_to_playlist
948,Put an inyección musical track in the nanette's playlist. ,add_to_playlist
949,I want to add a tune by Damon Johnson to my frescura indie playlist,add_to_playlist
950,add Puzzles Like You in my playlist Reggae,add_to_playlist
951,add xsuie in Your Favorite Coffeehouse,add_to_playlist
952,Add Tsubasa Imai to my Another Glass playlist,add_to_playlist
953,add this artist to my Guilty Pleasures playlist,add_to_playlist
954,add heresy and the hotel choir to the evening acoustic playlist,add_to_playlist
955,Add singing in the trees to rena's Lo mejor de Radio 3 playlist.,add_to_playlist
956,Include Jesper Kyd in the Grime Instrumentals playlist ,add_to_playlist
957,add Devil Pray to my party list,add_to_playlist
958,add ivan mane jarnowick to Fusion Fest,add_to_playlist
959,Add a jacob miller album to my Hardcore Punk playlist. ,add_to_playlist
960,Add Jamaica Say You Will  to my metal,add_to_playlist
961,Add Shooter Jennings to the All Out 70s playlist. ,add_to_playlist
962,The Sleep Machine Rainforest playlist needs another tune,add_to_playlist
963,add joan wasser to running playlist,add_to_playlist
964,Add seek & destroy to Sin Ti playlist,add_to_playlist
965,Add artist Matt Noveskey to journey,add_to_playlist
966,add Sara Carter to my Nothing But A Party R&B,add_to_playlist
967,I want novena on a nocturn added to the playlist called Gold Edition,add_to_playlist
968,add count von cosels obsession to Jazzy Romance,add_to_playlist
969,please add this Rex Griffin tune to the Steampunk playlist,add_to_playlist
970,marcia carolus rex should get added to my Women of SXSW playlist,add_to_playlist
971,add this album by don reno to my playlist named indiespain,add_to_playlist
972,For my Crossfit playlist add The Soul Sessions Volume 2,add_to_playlist
973,Add camille to the This Is Lady Antebellum playlist,add_to_playlist
974,add jeanette to extreme metal workout,add_to_playlist
975,add Sirusho to the 50 Clásicos playlist,add_to_playlist
976,add tune to my instrumental funk playlist,add_to_playlist
977,Add artist chris squire to my The Birth of Cool playlist,add_to_playlist
978,Put some mac wiseman in my latino caliente playlist. ,add_to_playlist
979,I wish to add this album to the dinner playlist,add_to_playlist
980,Add child owlet to my Sleep Sounds playlist ,add_to_playlist
981,Add Family Tree to conexiones,add_to_playlist
982,Add the tune to my chill hits playlist.,add_to_playlist
983,Add Bonga to the Black Sabbath The Dio Years playlist,add_to_playlist
984,Add Fra Mols til Skagen to my this is trey songz playlist,add_to_playlist
985,Add this tune to my Indie Reflection Playlist,add_to_playlist
986,I want a Mi Lu Bing song in my Pop Dance playlist. ,add_to_playlist
987,add MG The Visionary to my Dubstep playlist,add_to_playlist
988,add what if punk never happened to autumn,add_to_playlist
989,add Novedades Pop to my all out of luck list,add_to_playlist
990,Add Troy van Leeuwen to my nu metal list,add_to_playlist
991,Add the singer Maxine Nightingale to the Spanish Beat playlist.,add_to_playlist
992,add Tarte to bandas sonoras playlist,add_to_playlist
993,add jeff burrows album to my Country Hits playlist,add_to_playlist
994,add this tune to my Rock This,add_to_playlist
995,Add impossible is nothing to SPA Treatment,add_to_playlist
996,Add a tune to Skylar Diggins' Training Mix,add_to_playlist
997,Add a track to my playlist funk outta here,add_to_playlist
998,Add morten harket to this is puccini,add_to_playlist
999,add Chrome Reflection to my throwback thursday playlist,add_to_playlist
1000,Add a song to the para dormir playlist.,add_to_playlist
1001,Add cecil womack to my 50 Great Female Voices playlist.,add_to_playlist
1002,Put Ron Wood in the Digster Reggae playlist.,add_to_playlist
1003,Add album to princesas indie,add_to_playlist
1004,Add Andreas Johnson to my Rock Save The Queen playlist,add_to_playlist
1005,Add this song to year in metal 2016,add_to_playlist
1006,add this album to my de camino a clase playlist,add_to_playlist
1007,Can you put some monifah on my disco fever playlist,add_to_playlist
1008,please add this song to Madden NFL 16,add_to_playlist
1009,"add kenneth c ""jethro"" burns songs in my playlist soundscapes for gaming",add_to_playlist
1010,add a j mclean to rock to work,add_to_playlist
1011,Add the song to the pure seduction playlists,add_to_playlist
1012,Add this track by Brian Welch to the spring music playlist,add_to_playlist
1013,Add artist hex hector to my old school death metal playlist,add_to_playlist
1014,I'd like to move the artist named Matt Walker to the playlist grandes unplugged,add_to_playlist
1015,Add Every Song Is a Cry for Love to my playlist Soul 'n' The City,add_to_playlist
1016,please add John Deacon to the funtime activity playlist,add_to_playlist
1017,add bert mccracken tune lo que suena new york playlist,add_to_playlist
1018,"Add Star Light, Star Bright to my jazz classics playlist. ",add_to_playlist
1019,Edit Classic Road Trip Songs put on Sammy Cahn,add_to_playlist
1020,add agua y sal in Classic Jazz Funk,add_to_playlist
1021,add this song by torch to my Sing Along playlist,add_to_playlist
1022,Add Jerry Dixon to my chill out list,add_to_playlist
1023,add antisleep volume 04 in All Out 70s playlist,add_to_playlist
1024,Add artist to my 80'S PARTY,add_to_playlist
1025,Add a tune to my playlist Women of K-Pop,add_to_playlist
1026,add album to my I Love My 90's R&B,add_to_playlist
1027,Add tune to my Folk Music At The Gaslight Café,add_to_playlist
1028,Add Heart Like a Hurricane to digster soul classics,add_to_playlist
1029,add Fish Leong to my I Love My '00's R&B playlist,add_to_playlist
1030,put this album on my road trip playlist,add_to_playlist
1031,Add Hotter Than Hell to my Fiesta playlist,add_to_playlist
1032,add mike mogis onto my crate diggers anonymous playlist,add_to_playlist
1033,add david dallas to my latin dance cardio playlist,add_to_playlist
1034,add this artist to Pop 2017 Picks,add_to_playlist
1035,Add Scarred to my This Is Zezé Di Camargo & Luciano,add_to_playlist
1036,add my album to This Is Al Green,add_to_playlist
1037,add this artist to Blues Roots list,add_to_playlist
1038,Add the artist to the nuclear blast novelties playlist.,add_to_playlist
1039,Add Born Free to Fresh R&B,add_to_playlist
1040,Add an album to my Sylvia Plath playlist.,add_to_playlist
1041,"Put this song on my playlist, In The Name Of Blues.",add_to_playlist
1042,add the artist Jamie T to hallie's winter music playlist,add_to_playlist
1043,Put more Unbelievable in my grandes unplugged playlist. ,add_to_playlist
1044,Add this artist to my Classic Punk playlist,add_to_playlist
1045,The Sleep Machine Waterscapes playlist needs some kris chetan ramlu in it. ,add_to_playlist
1046,Add something by ritchie valens to my playlist virales de siempre,add_to_playlist
1047,Add the Proof album to Cierra La Puerta playlist,add_to_playlist
1048,Add the tune to my Epic Classical playlist.,add_to_playlist
1049,Add this tune by rod argent to propuesta alternativa playlist,add_to_playlist
1050,Add inconfundible to Stomp & Holler,add_to_playlist
1051,Add My Very Best to my road trip playlist. ,add_to_playlist
1052,For my playlist fresh finds hiptronix add the name polka medley,add_to_playlist
1053,add this album to the playlist called dishwashing,add_to_playlist
1054,rate tune to my natalie macmaster viajes,add_to_playlist
1055,Put a Paul Hardcastle song in my classic jazz funk playlist. ,add_to_playlist
1056,Can you add an album to my Are & Be playlist,add_to_playlist
1057,I want to put a copy of this tune into Skatepark Punks,add_to_playlist
1058,ADD Me Kommeni Tin Anasa to my propuesta alternativa playlist,add_to_playlist
1059,Add this track by horace andy to acoustic soul,add_to_playlist
1060,please put this song by nas in my Hype playlist,add_to_playlist
1061,add the song by brian larsen to the Cardio playlist,add_to_playlist
1062,add cross bones style to Guest List TaKe,add_to_playlist
1063,For the playlist this is mozart add Nana Mizuki Live Fighter -Blue x Red Side-,add_to_playlist
1064,Add The Hellacopters singles to my teen party,add_to_playlist
1065,add the artist gougoush to the Soul Revived playlist,add_to_playlist
1066,I want to add No Mystery to alejandra's Acoustic Love playlist,add_to_playlist
1067,my Disco Forever playlist needs an album by sawai gandharva.,add_to_playlist
1068,add this artist to my Sinfonía Hipster,add_to_playlist
1069,add this album to Digster Future Hits,add_to_playlist
1070,Add naseer shamma to piano chill,add_to_playlist
1071,Add Buddy Tate to just dance by aftercluv list,add_to_playlist
1072,Add Barbara to the metal xplorer playlist. ,add_to_playlist
1073,I want jimmie noone on the playlist titled lo mejor de los 00's,add_to_playlist
1074,add song to thrash attack,add_to_playlist
1075,Can you put this xandee song onto my chill playlist?,add_to_playlist
1076,add falling upstairs to the playlist named chill out,add_to_playlist
1077,Can you add some Tommie Sunshine to my chill out playlist,add_to_playlist
1078,Add Waltz for Debby to my Soft Pop Hits playlist.,add_to_playlist
1079,Add Tunnel of Love to ethel's metal crash course palylist,add_to_playlist
1080,add tune to my metal crash course playlist,add_to_playlist
1081,add this tune by Nokio the N Tity to my this is bb king playlist,add_to_playlist
1082,add this peter iwers album to my ntc gym strong,add_to_playlist
1083,add a new entry for mon beau sapin in lela's música libre playlist,add_to_playlist
1084,Can the artist big mama thornton be put onto my Trabajo Relax playlist?,add_to_playlist
1085,add this track to my Dinnertime Acoustics playist,add_to_playlist
1086,Add Hallucinations of Despair to my this is trey songz playlist.,add_to_playlist
1087,put this track on the playlist with the name roadrunner rec new releases,add_to_playlist
1088,Ad Amal Hijazi tune to my Pura Vida,add_to_playlist
1089,I want to put this song in my new boots playlist,add_to_playlist
1090,Put No Mystery into my Punk Essentials playlist. ,add_to_playlist
1091,"I want to send music to ann's lists from SIR John Winston Ono Lennon, put it on her Infinite Indie Folk list",add_to_playlist
1092,Add irving berlin to my dishwashing,add_to_playlist
1093,Add Gary Valenciano to the power gaming playlist. ,add_to_playlist
1094,Please add 80s Classic Hits Asking for It to my playlist,add_to_playlist
1095,add artist my laundry playlist,add_to_playlist
1096,add Billy Martin album to my legendary guitar solos playlist,add_to_playlist
1097,add this song to my southern gothic playlist,add_to_playlist
1098,Add Luiza Possi to my bachelor party playlist. ,add_to_playlist
1099,Add track by Fleetwood Mac to lakeisha's playlist TODO NOVEDADES,add_to_playlist
1100,Add See Me Now to my enamorándose playlist,add_to_playlist
1101,add the artist a j pero to my Country Gold playlist,add_to_playlist
1102,add this artist to sunshine reggae ,add_to_playlist
1103,Add what if we were real to my Ultimate 80s playlist,add_to_playlist
1104,Add unreachable to my wine & dine playlist.,add_to_playlist
1105,add the artist to my 31 Minutos playlist,add_to_playlist
1106,Can you add woman of the world to my playlist entitled Duetos,add_to_playlist
1107,add this track to my global funk,add_to_playlist
1108,Put a gary clark song into the soul bpm playlist. ,add_to_playlist
1109,Add a track by flesh n bone to my totally alternative playlist. ,add_to_playlist
1110,add something so right to lora's 80s Classic Hits playlist,add_to_playlist
1111,Put this Yury Chernavsky tune on my Alternative Route playlist,add_to_playlist
1112,add nour mhanna to workday lounge,add_to_playlist
1113,add naomi schemer to my Hanging Out and Relaxing,add_to_playlist
1114,add this track to my Gold School playlist,add_to_playlist
1115,add Petar Georgiev Kalica song to my Push Button Funk playlist,add_to_playlist
1116,Add a song by Jil Y Creek to my spring music,add_to_playlist
1117,put kan on my Indie Rock Road Trip,add_to_playlist
1118,add this artist named Kirk Hammett to my playlist Los 40 Radio Éxitos,add_to_playlist
1119,add Give Us Rest to my Very Nearly Nashville playlist,add_to_playlist
1120,put deep purple on this is jennifer lopez,add_to_playlist
1121,Add the track to the Best Metal of the New Millennium playlist.,add_to_playlist
1122,add this song to Country Coffeehouse,add_to_playlist
1123,Add venedig im regen to this is Maxwell,add_to_playlist
1124,Add Rodriguez artist to my mujeres y hombres y fiesta playlist,add_to_playlist
1125,add The Field album to my romantic evening album,add_to_playlist
1126,add the album to the metalcore playlist,add_to_playlist
1127,add the artist  w g snuffy walden to my Billboard Latin Music Awards Finalists playlist,add_to_playlist
1128,add richard sohl to dinner for 2,add_to_playlist
1129,put four in blue onto Ultimate 00s.,add_to_playlist
1130,add Madchild to Electro Latino,add_to_playlist
1131,Add my favorite artist to the focus now playlist,add_to_playlist
1132,add song to This Is Philip Glass,add_to_playlist
1133,Add manos hatzidakis to lo mejor de los 00's,add_to_playlist
1134,Add keine grenzen to New Metal Tracks,add_to_playlist
1135,Put Beside You in my spotify orchestra cello playlist. ,add_to_playlist
1136,Please add checkmate to my irish folk – jigs & reels playlist,add_to_playlist
1137,Add this track to my Zen Focus playlist,add_to_playlist
1138,add the album to my Latin Pop Rising playlist,add_to_playlist
1139,Add image to the Nuclear Blast Novelties playlist,add_to_playlist
1140,Add Der K und K Kalypso aus Wien to vonda's playlist Pura Vida,add_to_playlist
1141,Add tune to this is trey songz,add_to_playlist
1142,Add Sam Moran music to my tgif playlist,add_to_playlist
1143,add post mortem to my timeless love songs playlist,add_to_playlist
1144,Put this shelter from the storm on r&b party classics,add_to_playlist
1145,Add The Maid of Amsterdam to my 80s smash hits,add_to_playlist
1146,Add One Good Reason to the bachelor party playlist,add_to_playlist
1147,add Joe Hickerson  to my Jazz – Classical Crossings,add_to_playlist
1148,add If You Were Mine  to Classic Punk playlist,add_to_playlist
1149,add The Green Book in my playlist Mellowed Out Gaming,add_to_playlist
1150,Add pittsburgh slim to my indie mim playlist.,add_to_playlist
1151,add the tune to my jazz vibes playlist,add_to_playlist
1152,add El valle del Jarama to my working day playlist,add_to_playlist
1153,add share the well to my epic wall of sound,add_to_playlist
1154,Add another tune to kristine's laundry playlist. ,add_to_playlist
1155,add The Rough Guide to the Music of Eastern Europe to my This Is Philip Glass playlist,add_to_playlist
1156,add als het om de liefde gaat to my this is handel playlist,add_to_playlist
1157,Can you put this tune onto Latin Dance Cardio?,add_to_playlist
1158,"I need to add an artist to one of my playlists, Classical New Releases Spotify Picks.",add_to_playlist
1159,Add maki ohguro to the rock hard playlist,add_to_playlist
1160,add this matt bachand tune to pure rock & roll,add_to_playlist
1161,Add Testifying to  donna's tokyo rising palylist,add_to_playlist
1162,Add East Grand Blues to the This Is Nicky Jam playlist. ,add_to_playlist
1163,add my old kentucky home to Fresh Finds Fire Emoji,add_to_playlist
1164,I want to add Sin rencor to my playlist entitled te quiero,add_to_playlist
1165,Add a yesudas song in my piano chill playlist. ,add_to_playlist
1166,Add daigo to indietronic,add_to_playlist
1167,put Joseph Utsler on All Out 70s,add_to_playlist
1168,Can I put Indocumentado onto my Folk Music At The Gaslight Café playlist?,add_to_playlist
1169,add armand van helden to my black sabbath the ozzy years playlist,add_to_playlist
1170,I want the Turbonegro album to go on the playlist called Genuine R&B,add_to_playlist
1171,Incorporate Moribund the Burgermeister into the 50 Shades of Love playlist. ,add_to_playlist
1172,can you put The Little Grey Mother Who Waits All Alone into uncharted 4 nathan drake,add_to_playlist
1173,add paula abdul to Classic Acoustic playlist,add_to_playlist
1174,add tune this is puccini to my playlist,add_to_playlist
1175,add this artist to FIFA 17 Soundtrack,add_to_playlist
1176,Include Badmeaningood Volume4 in jaime's Animal Stories playlist. ,add_to_playlist
1177,add this Infernus tune do marsha's de camino a clase,add_to_playlist
1178,add song in my playlist Dance Workout,add_to_playlist
1179,Add this raffaele riefoli tune to Deathcore,add_to_playlist
1180,add this track to my road trip playlist,add_to_playlist
1181,add this song by deron miller to my party on fridays playlist,add_to_playlist
1182,Please add to my playlist Hype the name introducing a r rahman,add_to_playlist
1183,put this Kes song on the feel good indie rock playlist,add_to_playlist
1184,add the track by Paul Gray to my 2010s smash hits playlist,add_to_playlist
1185,Add Mel Draisey tomy 80s Classic Hits playlist.,add_to_playlist
1186,add A-Hunting We Will Go to the Emily Dickinson playlist,add_to_playlist
1187,Add a song to playlist chill hits,add_to_playlist
1188,Put new page onto my latin jazz playlist.,add_to_playlist
1189,Add the tune to my Women of Latin Music playlist.,add_to_playlist
1190,Add Welcome to the Cruel World to my Reggae Classics playlist,add_to_playlist
1191,"add this song to my playlist named Britpop, etc",add_to_playlist
1192,Add htoo ein thin to my brooklyn beat playlist. ,add_to_playlist
1193,Add Kd lang to my Deep Focus playlist,add_to_playlist
1194,Add artist to my Broken Heart,add_to_playlist
1195,Add Pimp C to my workout remix. ,add_to_playlist
1196,Add dahmer to hiphop hot 50,add_to_playlist
1197,Add a track to my playlist Classic Acoustic,add_to_playlist
1198,Add a tune to my Sleep Sounds list,add_to_playlist
1199,add track to Indie Electronics playlist,add_to_playlist
1200,add the Chamillionaire track to lina's wedding classics playlist,add_to_playlist
1201,add undressed to my Country Icon playlist,add_to_playlist
1202,Add dr know to my TODO ALTERNATIVO playlist. ,add_to_playlist
1203,Add Ashley Cafagna Tesoro to my reggae en español list,add_to_playlist
1204,add steel guitar rag in acoustic covers the mash ups,add_to_playlist
1205,Add the tune to my House Afterwork playlist.,add_to_playlist
1206,put coming back to life onto winter music,add_to_playlist
1207,add The Crowd to corinne's acoustic soul playlist,add_to_playlist
1208,add abrar ul haq to Confidence Boost,add_to_playlist
1209,I want another album in my disco fever playlist. ,add_to_playlist
1210,Add this artist to the laugh list,add_to_playlist
1211,put this Kan Mikami tune on fresh finds cyclone,add_to_playlist
1212,Can ten green bottles be added to brooklyn beat?,add_to_playlist
1213,add song to my eletro br playlist,add_to_playlist
1214,"I would like to add to my plalist, Visjoner onto the old school metal one",add_to_playlist
1215,put the artist michael todd in my Afternoon Train Ride list,add_to_playlist
1216,Add mr j medeiros to my Women of Country playlist.,add_to_playlist
1217,put this tune onto my party through the decades playlist,add_to_playlist
1218,add this song to my crossroad blues playlist,add_to_playlist
1219,Add robin trower to the medieval 50 spotify picks playlist. ,add_to_playlist
1220,Add dave bickler to my all out 90s playlist,add_to_playlist
1221,Add this song to my fairy tales,add_to_playlist
1222,put this tune playing into my La Mejor Música Dance 2017 playlist,add_to_playlist
1223,add Halfway Between Here and There to my canadian country playlist,add_to_playlist
1224,add this song to my Love Hurts playlist,add_to_playlist
1225,please put live with me onto my playlist named CARÁCTER LATINO,add_to_playlist
1226,Add died to the todo latino playlist,add_to_playlist
1227,Add Welcome to the Cruel World to my Reggae Classics,add_to_playlist
1228,Add moby grape live to enamorándose,add_to_playlist
1229,add Dr Know to the playlist named I Love My 90's R&B,add_to_playlist
1230,Add Elkie Brooks to Happy Birthday playlist,add_to_playlist
1231,add the song to my the funny thing about football is playlist,add_to_playlist
1232,Add this track to winnie's post metal playlist,add_to_playlist
1233,Add la jaula de oro to my Evening Commute playlist,add_to_playlist
1234,add Jalal Zolfonun to my Nature Noise,add_to_playlist
1235,Add this song to indie hipster,add_to_playlist
1236,add this tune to my guest list gamesradar playlist,add_to_playlist
1237,Add album to Pop Rising,add_to_playlist
1238,add take it back to my Metal Party playlist,add_to_playlist
1239,I want you to add a George Chisholm tune to my 40 hits playlist. ,add_to_playlist
1240,add Salil Chowdhury to my 35 Soul Classics 1970 to 1975 playlsit,add_to_playlist
1241,Add O B McClinton to my playlist called Women of Electronic,add_to_playlist
1242,I would like you to add now the hits of winter 2008 onto my ntc studio sounds playlist.,add_to_playlist
1243,add an album in Sweet Soul Chillout,add_to_playlist
1244,Add Por una Cabeza to my playlist called this is new edition,add_to_playlist
1245,Add this track to the playlist Korean OSTs,add_to_playlist
1246,add scarlet begonias to my para entrenar playlist,add_to_playlist
1247,Put wreck of the tennessee gravy train in the Kids Workout playlist. ,add_to_playlist
1248,Add the singer ivan roudyk to my fairy tales playlists ,add_to_playlist
